Game,ID
"2do Aru Koto wa Sando R (Japan)",T-6802G   V1.003
"2Tax Gold (Japan)",T-4305G V1.  002
"3D Baseball - The Majors (Japan)",T-18003G  V1.000
"3D Baseball (USA)",T-15906H  V1.002
"3D Lemmings (Europe)",T-11304H  V3.08 
"3D Lemmings (Japan)",T-15013G  V3.100
"3D Mission Shooting - Finalist (Japan)",T-18511G  V1.000
"3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)",T-21301G  V1.000
"3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 2)",T-21301G  V1.000
"3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 3) (Special CD-ROM)",T-21301G  V1.000
"6 Inch My Darling (Japan)",T-19721G  V1.001
"Actua Golf (Europe) (En,Fr,De)",T-12302H  V1.500
"Actua Golf (Japan)",T-18710G  V1.100
"Actua Soccer - Club Edition (Europe)",T-12305H  V1.100
"Actua Soccer (Japan)",T-18706G  V1.100
"Advanced V.G. (Japan)",T-32501G  V1.001
"Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (2M)",GS-9087   V1.004
"Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (Rev B) (22M)",GS-9087   V1.007
"AI Igo (Japan)",T-17601G  V1.003
"Ai Iijima Interactive Video Clip - Good Island Cafe (Japan)",T-25201G  V1.300
"AI Shougi (Japan)",T18602G   V1.001
"AI Shougi 2 (Japan)",T-17602G  V1.002
"Air Management '96 (Japan)",T-7611G   V1.004
"Airs Adventure (Japan)",T-20701G V1.004 
"Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (2M)",T-9527G   V1.400
"Albert Odyssey - Legend of Eldean (USA)",T-12705H  V1.010
"Albert Odyssey - Legend of Eldean (USA) (RE)",T-12705H  V1.100
"Albert Odyssey Gaiden - Legend of Eldean (Japan) (1M)",T-1507G   V1.003
"Albert Odyssey Gaiden - Legend of Eldean (Japan) (2M)",T-1507G   V1.003
"Albert Odyssey Gaiden - Legend of Eldean (Japan) (3M)",T-1507G   V1.003
"Album Club (Mune Kyun) - St. Paulia Jogakuin (Japan)",T-21903G  V1.001
"Alien Trilogy (Europe) (En,Fr,Es,It) (4S)",T-8113H-50V1.000
"Alien Trilogy (Europe) (En,Fr,Es,It) (7S)",T-8113H-50V1.000
"Alien Trilogy (Europe) (En,Fr,Es,It) (Beta) (1996-07-23)",T-99901G  V1.000
"Alien Trilogy (Germany)",T-8113H-18V1.000
"Alien Trilogy (Japan)",T-8113G   V1.001
"Alien Trilogy (Japan) (Demo)",T-8113G   V1.000
"Alien Trilogy (USA)",T-8113H   V1.000
"All-Star Baseball '97 Featuring Frank Thomas (USA)",T-8150H   V1.000
"Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)",T-15101H  V1.100
"Alone in the Dark - One-Eyed Jack's Revenge (USA)",T-29401H  V1.200
"Alone in the Dark 2 (Japan)",T-10602G  V1.000
"Amagi Shien (Japan)",T-1513G   V1.001
"America Oudan Ultra Quiz (Japan)",T-6004G   V1.020
"Amok (Europe) (En,Fr,De,Es,It,Nl)",MK-81064  V1.003
"Amok (Japan)",T-7637G   V1.007
"Amok (USA)",MK-81064  V1.010
"Andretti Racing (Europe)",T-5020H   V1.000
"Andretti Racing (France)",T-5020H   V1.000
"Andretti Racing (Germany)",T-5020H   V1.000
"Andretti Racing (USA)",T-5020H   V1.000
"AnEarth Fantasy Stories - The First Volume (Japan)",T-27801G  V1.004
"Angel Graffiti S - Anata e no Profile (Japan)",T-7308G   V1.003
"Angel Paradise Vol. 1 - Sakaki Yuko - Koi no Yokan in Hollywood (Japan)",T-2403G   V1.000
"Angel Paradise Vol. 2 - Yoshino Kimika - Isshoni I-ta-i in Hawaii (Japan)",T-2405G   V1.000
"Angelique Duet (Japan)",T-7662G   V1.002
"Angelique Special (Japan)",T-7615G   V1.000
"Angelique Special 2 (Japan)",T-7627G   V1.200
"Another Memories (Japan)",T-38001G  V1.002
"Aqua-world - Umi Monogatari (Japan)",T-30301G  V1.100
"Aquazone - Desktop Life (Japan)",GS-9023   V1.000
"Aquazone - Desktop Life Option Disc Series 1 - Angel Fish (Japan) (Rev A)",T-24002G  V2.000
"Aquazone - Desktop Life Option Disc Series 2 - Black Molly (Japan) (Rev A)",T-24003G  V2.000
"Aquazone - Desktop Life Option Disc Series 3 - Blue Emperor (Japan) (Rev A)",T-24004G  V2.000
"Aquazone - Desktop Life Option Disc Series 4 - Clown Loach (Japan) (Rev A)",T-24005G  V2.000
"Aquazone - Desktop Life Option Disc Series 5 - False Rummy-Nose (Japan) (Rev A)",T-24006G  V2.000
"Arcade Gears Vol. 1 - Pu-Li-Ru-La (Japan)",T-26106G  V1.003
"Arcade Gears Vol. 2 - Gun Frontier (Japan)",T-26109G  V1.001
"Arcade Gears Vol. 3 - Wonder 3 (Japan)",T-26107G  V1.002
"Arcade Gears Vol. 4 - ImageFight & XMultiply (Japan)",T-26110G  V1.010
